14	0	12	4	3	0	60	0	3	80	0	15	39	23
11	0	62	1	15	0	73	0	4	20	0	17	78	21
139	0	262	23	16	0	258	5	34	460	0	95	315	37
9	0	61	1	4	0	53	3	8	20	0	14	29	20
23	0	98	0	14	0	76	0	2	0	0	36	82	33
4	0	18	49	0	0	14	0	1	980	0	3	7	2
1	0	0	0	0	0	0	3	0	0	0	0	0	3
62	50	96	6	12	0	97	3	10	120	0	9	75	11
1	0	9	0	1	0	7	0	3	0	0	0	10	8
116	0	97	7	18	0	160	2	3	140	0	31	107	51
1	0	1	7	1	0	4	1	0	140	0	0	0	8
60	0	49	2	13	0	92	0	5	40	0	4	68	29
21	0	16	0	6	0	33	0	0	0	0	3	34	7
28	0	139	14	29	0	98	3	9	280	0	47	192	22
23	0	59	1	7	0	57	0	6	20	0	13	93	15
4	0	2	1	0	0	7	2	1	20	0	0	1	4
29	0	80	0	22	0	87	1	3	0	0	2	111	12
31	0	41	2	12	0	44	0	14	40	0	19	64	17
15	0	52	1	4	0	44	3	21	20	0	5	90	5
0	0	4	0	0	0	7	0	0	0	0	2	0	8
68	0	39	12	2	0	81	14	55	240	0	11	42	48
31	0	2	4	0	0	11	0	0	80	0	0	5	6
1	0	9	1	0	0	19	1	3	20	0	5	17	8
17	0	0	0	0	0	4	0	0	0	0	0	3	8
19	0	59	5	23	0	99	0	6	100	0	17	88	28
14	0	97	2	16	0	96	1	13	40	0	10	129	18
24	0	51	8	8	0	64	1	9	160	0	13	65	14
4	0	2	0	0	0	4	0	1	0	0	0	0	0
36	50	168	4	45	0	228	10	19	80	0	23	385	36
24	0	26	7	6	0	57	1	1	140	0	69	72	23
112	100	192	4	45	0	256	5	13	80	0	21	301	28
0	0	12	1	1	0	9	1	6	20	0	2	3	0
63	0	84	5	18	0	173	2	18	100	0	23	149	34
54	0	32	8	6	0	63	1	6	160	0	15	79	15
83	0	12	1	1	0	45	0	3	20	0	17	25	18
27	0	67	0	11	0	56	2	4	0	0	6	44	27
18	0	110	4	21	0	70	4	13	80	0	29	128	12
86	50	108	4	2	0	65	3	3	80	0	8	86	8
195	50	40	4	5	0	85	0	2	80	0	10	53	7
18	0	27	6	9	0	22	0	8	120	0	11	40	4
4	0	0	0	0	0	0	0	0	0	0	3	3	2
47	50	47	3	2	0	84	5	4	60	0	13	283	29
10	50	62	4	8	0	31	0	1	80	0	10	41	12
32	0	7	4	5	0	23	0	1	80	0	20	14	19
33	0	29	6	10	0	82	0	4	120	0	18	111	16
1	0	7	1	0	0	10	0	3	20	0	5	7	9
9	0	31	7	5	0	35	1	32	140	0	2	19	6
24	100	72	10	8	0	101	3	9	200	0	32	74	43
19	0	101	0	5	0	71	0	0	0	0	21	35	7
0	0	0	0	0	0	1	1	0	0	0	5	1	4
44	0	50	10	6	0	66	0	10	200	0	5	75	15
279	0	237	5	18	0	226	25	20	100	0	40	1256	74
39	0	28	8	11	0	89	3	2	160	0	19	417	31
3	0	18	3	8	0	27	0	2	60	0	24	33	11
22	0	86	5	5	0	64	5	4	100	0	30	103	38
47	0	94	7	23	0	108	0	31	140	0	47	108	19
5	0	1	0	0	0	3	2	1	0	0	0	0	1
28	0	5	1	2	0	19	0	3	20	0	10	5	7
50	200	129	0	2	0	64	0	2	0	0	3	71	7
47	0	15	2	7	0	25	0	3	40	0	7	7	11
4	0	15	1	0	0	3	0	0	20	0	2	11	11
15	0	57	1	5	0	82	1	0	20	0	5	55	5
55	200	30	1	1	0	23	0	1	20	0	1	17	7
41	0	25	1	1	0	30	0	6	20	0	3	79	17
187	0	430	54	50	0	757	12	45	1080	0	104	396	150
9	0	8	1	5	0	18	0	1	20	0	2	3	4
14	0	25	3	10	0	58	0	1	60	0	5	75	10
125	0	112	1	7	0	137	3	14	20	0	20	136	28
88	0	108	5	4	0	99	2	13	100	0	28	54	46
169	150	162	8	6	0	130	1	22	160	0	50	154	18
11	0	18	0	5	0	41	1	2	0	0	3	12	18
294	100	174	10	40	300	163	7	18	200	750	34	158	60
19	0	2	5	0	0	18	0	0	100	0	0	47	4
200	0	145	29	12	100	169	3	10	580	250	29	76	79
16	0	24	1	4	0	24	0	1	20	0	2	101	8
78	0	155	4	15	0	136	2	8	80	0	68	164	45
30	0	4	0	1	0	15	0	2	0	0	3	162	4
93	0	56	0	3	0	63	1	3	0	0	8	414	21
1	0	7	0	0	0	4	4	7	0	0	2	0	9
13	0	16	3	1	0	29	1	6	60	0	0	28	15
3	0	51	0	3	0	9	3	1	0	0	2	9	9
19	0	9	1	1	0	18	1	3	20	0	2	191	13
33	0	59	0	1	0	43	0	3	0	0	9	131	14
3	0	56	3	1	0	20	2	0	60	0	17	24	8
343	150	127	4	6	0	184	6	39	80	0	39	110	44
50	0	2	1	0	0	18	2	1	20	0	4	203	8
8	0	27	2	6	0	18	10	94	40	0	3	14	8
347	250	235	5	9	0	250	6	7	100	0	44	131	73
8	0	13	1	0	0	23	0	1	20	0	3	25	7
